tama√±o,resultado,frase_original,texto_extraido
69,86.05,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIIGxhlGluzmgybWFjw6lvbiBtZWRpYWSOZSBOweljbmIjYXMgzGUgZXNjZWSvZ3JhZsotySBhY8o6c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
71,87.79,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIIGxhlGluZmgybWFjw61vbiBtZWRpYWSOZSBOw6ljbmIjYXMgzGUgZXNjZWSvZ3JhzsOtYSBhY806c3RpYZEgQWxiZXJObyBNYXJOaW4gT3Jlw7FhlHkgUm9kcmInbYBHYWxsZWdvIELhcmlu
73,88.05,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwTNulGRIIGxhlGluZmgybWFjw6IvbiBtZWRpYW5OZSBOw6ljbmIjYXMgZGUgZXNjZWSvZ3JhzsOtYSBhy806c3RpY2EgQWxiZXJObyBNYXIOaW4gT3J1wFhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
75,88.95,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybWFjw61vbiBtZWRpYW5OZSBOw6ljbmIjYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpYZEgQWxiZXJObyBNYXJOaw4gT3Jlw7FhIHkgUmgkcmlnbyBHYWXSZWdvlEIhcmlu
77,88.37,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwZNulGRIIGxhlGluZmgybWFjw6lvbiBtZWRpyWSOZSBOw6ljbmljYXMgZGUgZXNjZWSvZ3JhZsOtYSBhy8o6c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmlnbyBHYWxsZWdvIE1hcmlu
79,88.37,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybwFjw61vbiBtZWRpYWSOZSBOwGIjbmljYXMgZGUgZXNjZWSvZ3JhZsOtYSBhY8O6c3Rpy2EgQWxiZXJObyBNYXJOaW4gT3J1wZFhlHkgUm9kcmlnbyBHYWxszWdvIEIhcmlu
81,87.21,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNuIGRIIGxhIGluZmgybWFjw6lvbiBtZwRpYWSOZSBOw6ljbmIjYXMgZGUgZXNJZWSvz3JhzsOtYSBhY806c3RpYZEgQWxizXJObyBNYXJOaW4gT3J1w7FhIHkgUmgkcmlnbyBHYWxsZWdvIElhcmlu
83,87.79,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwTNulGRIIGxhlGluZmgybWFjw6lvbiBtZWRpYWSOZSBOw6IjbmIjYXMgZGUgZXNjZWSvZ3JhZsOtYSBhY806c3RpY2EgQWxizXJObyBNYXJOaW4gT3Jlw7FhIHkgUmgkcmlnbyBHYWxsZWdvIEIhcmlu
85,84.88,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhlGluzmgybWFjw6lvbiBtzWRpYWSOZSBOw6ljbmIjYXMgzGUgZXNjZWSvZ3JhZsOtYSBhY8O6c3RpY2EgQwxiZXJObyBNYXJOaW4gT3JlwZFhlHkgUmgkcmInbyBHYWxsZWdvlElhcmlu
87,84.3,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhlGluzm9ybWFjw6lvbiBtZWRpYWsOZSBOw6ljbmIjYXMgzGUgZXNjZWSvz3jhzsotYSBhY8o6c3Rpy2EgQWxizxjobyBNYXJOaW4gT3J1w7FhIHkgUmgkcmlnbyBHYWxsZWdvIElhcmlu
89,86.88,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhlGluzm9ybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmljYXMgZGUgZXNjzWSvz3JhzsOtYSBhY8O6c3Rpy2EgQWxizXObyBNYXJOaW4gT3J1w7FhIHkgUmgkcmInbyBHYWxsZWdvIElhcmlu
91,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhIGluzm9ybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmIjYXMgzGUgZXNjZWSvZ3JhzsotySBhY8O6c3RpY2EgQWxiZXjobyBNYXJOaW4gT3Jlw7FhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
93,87.21,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhiGluzmgybWFjw6lvbiBtZWRpYW5OZSBOw6ljbmljYXMgZGUgzXNjZWSvZ3JhzsOtYSBhY806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JlwZFhIHkgUmgkcmInbyBHYWxszWdvIEIhcmlu
95,83.97,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwTNulGRIIGxhIGluZmgybWFjw6IvbiBtZWRpYWSOZSBOw6IjbmIjYXMgZGUgZXNjZWSvz3JhzsOtYSBhY8O6c3RpY2EgqWxizxjobyBNYXIOaW4gT3J1wZFhlHkgUmgkcmlnbyBHYWXSZWdvIEhcmlu
97,86.3,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhIGluZmgybWFjw6IvbiBtZWRpyWSOZSBOw6IjbmIjYXMgzGUgZXNjZWSvz3JhZsOtYSBhY806c3RpY2EgQWxiZXObyBNYXJOaW4gT3JlwZFhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
99,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhIGluZmgybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmIjYXMgzGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpYZEgQWxizxyObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmlnbyBHYWxSZWdvIElhcmlu
101,87.21,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhIGluzmgybWFjw6lvbiBtZWRpYWSOZSBOwGljbmIjYXMgZGUgZXNjZWSvZ3JhzsotYSBhY806c3RpYZEgQWxiZXJObyBNYXJOaW4gT3JIw7FhlHkgUmgkcmlnbyBHYWxsZWdvIE1hcmlu
103,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluzmgybWFjw61vbiBtzwRpYWsOzSBOw6ljbmIjYXMgZGUgZXNjZWSvZ3JhzsOtYSBhY806c3RpY2EgQwxiZXJObyBNYXJOaW4gT3J1wZFhIHkgUm9kcmInbyBHYWxsZWdvIEIhcmlu
105,83.72,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhIGluZmgybwFjw6lvbiBtzWRpYWSOzSBOwbljbmljyXMgZGUgZXNjZWSvZ3JhZsOtYSBhY8O6c3RpY2EgQWxizxyobyBNYXJOaW4gT3JlwZFhIHKgUmgkcmInbYBHYWxsZWdvlElhcmlu
107,83.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhIGluzmgybwFjw6lvbiBtzWRpYWSOZSBOwGljbmjyXMgZGUgzXNjZWSvz3JhZsOtYSBhY8O6c3RpY2EgQWxizXObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmInbyBHYWxsZWdvlELhcmlu
109,87.21,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhIGluZmgybWFiw61vbiBtZWRpYW5OZSBOw6ljbmIjYXMgZGUgZXNjZWSvZ3JhZsOtYSBhy8o6c3RpYZEgQWxizXJObyBNYXJOaW4gT3J1wZFhIHkgumgkcmInbyBHYWxsZWdvlElhcmlu
111,85.47,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybWFiw6lvbiBtZWRpYW50ZSBOw6ljbmIjYXMgzGUgZXNjZWSvz3JhzsotYSBhY806c3RpY2EgQwxiZXJObyBNYXIOaW4gT3J1wZFhlHkgUmgkcmlnbyBHYWxszWdvIElhcmlu
113,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluzmgybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmIjYxMgZGUgZXNjZWSvZ3JhzsOtYSBhy806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3Jlw7FhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
115,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluzm9ybWFjw61vbiBtZWRpYWSOZSBOwGljbmIjYXMgzGUgzXNjZWSvz3JhZsOtYSBhY806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JlwZFhlHkgUm9kcmInbyBHYWxsZWdvIElhcmlu
117,84.88,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpW7NulGRIIGxhlGluzm9ybWFjw61vbiBtZWRpYWSOZSBOwGljbmIjYXMgzGUgzXNjZWSvz3jhZsOtYSBhY806c3Rpy2EgQWxiZXJObyBNYXJOaW4gT3Jlw7FhlHkgUm9kcmInbyBHYWxsZWdvlElhcmlu
119,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhIGluzmgybWFjw61vbiBtZWRpYWSOzsBOw6ljbmljYXMgZGUgZXNJZWSvZ3JhzsotYSBhY806c3RpY2EgQwxiZXIObyBNYXJOaW4gT3J1wZFhIHkgUmgkcmInbyBHYWxsZWdvIElhcmlu
121,84.88,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhIGluzmgybWFjw6lvbiBtzWRpYWsozsBOw6ljbmljYXMgZGUgZXNJZWSvZ3JhzsOtYSBhY806c3RpY2EgQWxiZXiObyBNYXJOaw4gT3JlwTFhIHkgUmgkcmlnbyBHYWxsZWdvIElhcmlu
123,89.53,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NuIGRIiGxhIGluzmgybWFjw61vbiBtZWRpYWsozsBOw6ljbmljYXMgZGUgZXNjZWSvZ3JhzsOtySBhY806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JlwZFhIHkgUm9kcmlnbyBHYWxsZWdvIElhcmlu
125,85.47,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIiGxhiGluzmgybWFjw61vbiBtZWRpYWsozsBOw6ljbmljYXMgZGUgZXNjZW5vZ3JhzsotYSBhY806c3RpYZEgQWxiZxjobyBNYXJOaW4gT3Jlw7FhIHkgUmgkcmlnbYBHYWxszWdvIElhcmlu
127,88.05,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIGxhlGluZmgybWFjw6lvbiBtzWRpYW5OZSBOw6ljbmIjYXMgzGUgZXNjZWSvz3JhzsOtYSBhY806c3RpY2EgQWxizXJObyBNYXJOaW4gT3J1w7FhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
129,86.05,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwZNulGRIIGxhlGluZmgybWFjw6lvbiBtzWRpYW5OZSBOw6ljbmIjYXMgzGUgZXNjZWSvz3jhzsOtYSBhY806c3Rpy2EgQWxizXJObyBNYXJOaW4gT3J1w7FhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
131,87.79,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwTNulGRIIGxhIGluzmgybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmljyXMgZGUgZXNjZWSvZ3JhzsOtYSBhY806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JlwZFhlHkgUmgkcmlnbYBHYWxsZWdvIE1hcmlu
133,84.3,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwZNulGRIIGxhIGluzmgybWFjw6lvbiBtZWRpyWSOZSBOweljbmljyXMgZGUgZXNjZWSvZ3JhZsOtYSBhY806c3RpY2EgQWxiZxyObyBNYXJOaW4gT3JlwZFhIHKgUmgkcmInbyBHYWXSZWdvIEIhcmlu
